"service_id","date","exception_type"
"GO104_160000433","20160405","1"
"GO104_160000433","20160406","1"
"GO104_160000433","20160407","1"
"GO104_160000433","20160411","1"
"GO104_160000433","20160412","1"
"GO104_160000433","20160414","1"
"GO104_160000433","20160415","1"
"GO104_160000433","20160418","1"
"GO104_160000433","20160419","1"
"GO104_160000433","20160420","1"
"GO104_160000433","20160421","1"
"GO104_160000433","20160422","1"
"GO104_160000433","20160425","1"
"GO104_160000433","20160426","1"
"GO104_160000433","20160427","1"
"GO104_160000433","20160428","1"
"GO104_160000433","20160429","1"
"GO104_160000433","20160502","1"
"GO104_160000433","20160503","1"
"GO104_160000433","20160505","1"
"GO104_160000433","20160506","1"
"GO104_160000433","20160509","1"
"GO104_160000433","20160510","1"
"GO104_160000433","20160511","1"
"GO104_160000433","20160512","1"
"GO104_160000433","20160513","1"
"GO104_160000433","20160516","1"
"GO104_160000433","20160517","1"
"GO104_160000433","20160518","1"
"GO104_160000433","20160519","1"
"GO104_160000433","20160520","1"
"GO104_160000434","20160307","1"
"GO104_160000434","20160308","1"
"GO104_160000434","20160309","1"
"GO104_160000434","20160310","1"
"GO104_160000434","20160311","1"
"GO104_160000434","20160314","1"
"GO104_160000434","20160315","1"
"GO104_160000434","20160316","1"
"GO104_160000434","20160317","1"
"GO104_160000434","20160318","1"
"GO104_160000434","20160321","1"
"GO104_160000434","20160322","1"
"GO104_160000434","20160323","1"
"GO104_160000434","20160324","1"
"GO104_160000434","20160325","1"
"GO104_160000434","20160328","1"
"GO104_160000434","20160329","1"
"GO104_160000434","20160330","1"
"GO104_160000434","20160331","1"
"GO104_160000434","20160401","1"
"GO104_160000434","20160404","1"
"GO104_160000434","20160405","1"
"GO104_160000434","20160406","1"
"GO104_160000434","20160407","1"
"GO104_160000434","20160411","1"
"GO104_160000434","20160412","1"
"GO104_160000434","20160414","1"
"GO104_160000434","20160415","1"
"GO104_160000434","20160418","1"
"GO104_160000434","20160419","1"
"GO104_160000434","20160420","1"
"GO104_160000434","20160421","1"
"GO104_160000434","20160422","1"
"GO104_160000434","20160425","1"
"GO104_160000434","20160426","1"
"GO104_160000434","20160427","1"
"GO104_160000434","20160428","1"
"GO104_160000434","20160429","1"
"GO104_160000434","20160502","1"
"GO104_160000434","20160503","1"
"GO104_160000434","20160505","1"
"GO104_160000434","20160506","1"
"GO104_160000434","20160509","1"
"GO104_160000434","20160510","1"
"GO104_160000434","20160511","1"
"GO104_160000434","20160512","1"
"GO104_160000434","20160513","1"
"GO104_160000434","20160516","1"
"GO104_160000434","20160517","1"
"GO104_160000434","20160518","1"
"GO104_160000434","20160519","1"
"GO104_160000434","20160520","1"
"GO104_160000435","20160307","1"
"GO104_160000435","20160308","1"
"GO104_160000435","20160309","1"
"GO104_160000435","20160310","1"
"GO104_160000435","20160311","1"
"GO104_160000435","20160314","1"
"GO104_160000435","20160315","1"
"GO104_160000435","20160316","1"
"GO104_160000435","20160317","1"
"GO104_160000435","20160318","1"
"GO104_160000435","20160321","1"
"GO104_160000435","20160322","1"
"GO104_160000435","20160323","1"
"GO104_160000435","20160324","1"
"GO104_160000435","20160325","1"
"GO104_160000435","20160328","1"
"GO104_160000435","20160329","1"
"GO104_160000435","20160330","1"
"GO104_160000435","20160331","1"
"GO104_160000435","20160401","1"
"GO104_160000435","20160404","1"
"GO104_160000435","20160405","1"
"GO104_160000435","20160406","1"
"GO104_160000435","20160407","1"
"GO104_160000435","20160411","1"
"GO104_160000435","20160412","1"
"GO104_160000435","20160414","1"
"GO104_160000435","20160415","1"
"GO104_160000435","20160418","1"
"GO104_160000435","20160419","1"
"GO104_160000435","20160420","1"
"GO104_160000435","20160421","1"
"GO104_160000435","20160422","1"
"GO104_160000435","20160425","1"
"GO104_160000435","20160426","1"
"GO104_160000435","20160427","1"
"GO104_160000435","20160428","1"
"GO104_160000435","20160429","1"
"GO104_160000435","20160502","1"
"GO104_160000435","20160503","1"
"GO104_160000435","20160505","1"
"GO104_160000435","20160506","1"
"GO104_160000435","20160509","1"
"GO104_160000435","20160510","1"
"GO104_160000435","20160511","1"
"GO104_160000435","20160512","1"
"GO104_160000435","20160513","1"
"GO104_160000435","20160516","1"
"GO104_160000435","20160517","1"
"GO104_160000435","20160518","1"
"GO104_160000435","20160519","1"
"GO104_160000435","20160520","1"
"GO104_160000436","20160307","1"
"GO104_160000436","20160308","1"
"GO104_160000436","20160309","1"
"GO104_160000436","20160310","1"
"GO104_160000436","20160311","1"
"GO104_160000436","20160314","1"
"GO104_160000436","20160315","1"
"GO104_160000436","20160316","1"
"GO104_160000436","20160317","1"
"GO104_160000436","20160318","1"
"GO104_160000436","20160321","1"
"GO104_160000436","20160322","1"
"GO104_160000436","20160323","1"
"GO104_160000436","20160324","1"
"GO104_160000436","20160325","1"
"GO104_160000436","20160328","1"
"GO104_160000436","20160329","1"
"GO104_160000436","20160330","1"
"GO104_160000436","20160331","1"
"GO104_160000436","20160401","1"
"GO104_160000436","20160404","1"
